"Username","lab 02 [Total Pts: 2] |881569"
"ackenhu2",0
"aahmed73",6.0
"anugu2",0
"coderko3",6.0
"shawnd2",6.0
"detmers2",6.0
"aad2",0
"kgarci45",6.0
"jieming2",7.0
"gnzlzrs2",6.0
"zehuahe2",6.0
"yanghu5",6.0
"zhuoyue3",6.0
"jkenna2",7.0
"ak21",7.0
"dlara5",7.0
"jinhohl2",6.0
"kkl3",0
"linnear2",5.0
"nlong6",6.0
"sitingm2",0
"ramonm2",7.0
"jameyer7",6.0
"ymin6",7.0
"amohan5",0
"inagpal2",0
"ananda4",0
"rmolsen2",7.0
"abhaysp2",0
"spatwa3",6.0
"mihikap2",6.0
"vpuri3",0
"hongyiq2",0
"jeroach2",6.0
"djsanto2",0
"nps5",7.0
"jmtiger2",6.0
"svetti2",6.0
"shohamw2",7.0
"keweixu2",0
"yella2",6.0
"yangy6",0
"zyun2",0
"taozang2",7.0
"haotanz2",7.0
"enpeiz2",6.0
"jiajing5",0
"wenjian2",7.0
"szhou49",6.0
