"Username","lab 02 [Total Pts: 2] |881569"
"sabdul24",2.0
"va6",0
"eac4",8.0
"atd3",8.0
"junyud2",8.0
"keken2",8.0
"chaeyun2",8.0
"shuming2",8.0
"kk13",8.0
"sk17",8.0
"mliang10",0
"xiaolin7",8.0
"zimengl2",0
"hmalden2",8.0
"mandera2",8.0
"yanmiao2",8.0
"aryanm2",8.0
"zhengda2",0
"pmotyka2",8.0
"gnarang2",8.0
"cprasa2",8.0
"yuchenq3",8.0
"romersb2",8.0
"nsanal2",8.0
"gautham2",8.0
"naisong2",8.0
"sameeha2",8.0
"manuela2",8.0
"qsu2",0
"tiansun2",0
"zeyaot2",8.0
"yifeit3",0
"briancw3",8.0
"gwang38",8.0
"hanw5",8.0
"yifanw6",0
"jjwon2",8.0
"mw21",0
"tyy2",8.0
"haoyuey2",8.0
"jiaruiz2",0
"diyangz2",0
"jz32",0
"jiaqiz5",0
"mz17",8.0
"tianren2",0
"xiangyi5",0
"xuanmin2",0
"yunkaiz2",8.0
